codigoParlamentar,DataSessaoPlenaria,DescricaoIdentificacaoMateria,EmentaMateria,DescricaoVoto
6008,2021-05-18,MPV 1016/2020,"Dispõe sobre a renegociação extraordinária no âmbito do Fundo Constitucional de Financiamento do Norte, do Fundo Constitucional de Financiamento do Nordeste e do Fundo Constitucional de Financiamento do Centro-Oeste.",Sim
6008,2023-08-29,PLP 257/2019,"Altera a Lei Complementar nº 101, de 04 de maio de 2000, e a Lei n° 12.340, de 1º de dezembro de 2010, para aperfeiçoar os meios técnicos e financeiros de resposta da União a calamidades públicas.",Atividade parlamentar
6008,2023-06-06,PEC 43/2022,"Acrescenta o art. 121 ao Ato das Disposições Constitucionais Transitórias, para assegurar prazo de vigência adicional aos instrumentos de permissão lotérica.",Sim
6008,2023-06-06,PEC 43/2022,"Acrescenta o art. 121 ao Ato das Disposições Constitucionais Transitórias, para assegurar prazo de vigência adicional aos instrumentos de permissão lotérica.",Presente – Não registrou voto
6008,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
6008,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
6008,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
6008,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Não
6008,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
6008,2022-12-13,PEC 13/2019,"Altera o art. 156 da Constituição Federal, para estabelecer critérios ambientais para a cobrança do Imposto sobre Propriedade Predial e Territorial Urbana e desonerar a parcela do imóvel com vegetação nativa.",Sim
6008,2022-12-13,PEC 13/2019,"Altera o art. 156 da Constituição Federal, para estabelecer critérios ambientais para a cobrança do Imposto sobre Propriedade Predial e Territorial Urbana e desonerar a parcela do imóvel com vegetação nativa.",Sim
6008,2022-07-06,PLS 5/2015,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para alterar o enquadramento no Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional) das atividades de prestação de serviço de representação comercial e demais atividades de intermediação de negócios e serviços de terceiros.",Sim
6008,2022-06-22,PDL 333/2020,"Susta a Portaria nº 377, de 8 de julho de 2020, da Secretaria do Tesouro Nacional do Ministério da Economia, que “Estabelece prazos para a definição de rotinas e contas contábeis, bem como classificações orçamentárias para operacionalização do item 04.01.02.01 (3) da 10ª edição do Manual de Demonstrativos Fiscais (MDF), aprovado pela Portaria STN nº 286, de 7 de maio de 2019, e alterações posteriores”.",Sim
6008,2022-06-21,MPV 1102/2022,"Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Regional, no valor de R$ 479.866.600,00, para o fim que especifica.",Sim
6008,2022-06-01,OFS 11/2022,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso II e § 2º, da Constituição Federal, a indicação do Senhor LUIS FELIPE SALOMÃO, Ministro do Superior Tribunal de Justiça, para compor o Conselho Nacional de Justiça, no cargo de Corregedor Nacional de Justiça, no biênio 2022/2024.",Votou
6008,2022-06-01,MSF 41/2022,"Submete à apreciação do Senado Federal, em conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor JULIANO FÉRES NASCIMENTO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Representante Permanente do Brasil junto à Comunidade dos Países de Língua Portuguesa.",Votou
6008,2022-06-01,MSF 12/2022,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e do art. 39, combinado com o art. 46, da Lei nº 11.440, de 29 de dezembro de 2006, a indicação do Senhor PEDRO LUIZ DALCERO, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Democrática de São Tomé e Príncipe.",Votou
