AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
0,0,0,0,0,Sem lançamentos,0,000,2021,5917,000,000,000,000,000,000,000,000,000
"5.154,48","1.773,71","10.075,06","5.000,00",000,Sem lançamentos,000,"5.604,60",2022,5917,000,000,000,84469,000,84469,"4.759,91",000,000
"96.038,54","20.453,12","128.144,06","62.250,37",000,Consulte,000,"107.761,40",2023,5917,70000,70000,000,"6.203,78",000,"6.203,78","25.362,33",000,"75.495,29"
"48.355,29","30.508,89","47.757,39","52.000,00",000,Sem lançamentos,000,"52.294,71",2024,5917,000,000,000,"2.694,34",000,"2.694,34","15.900,84",000,"33.699,53"
