AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"108.549,70","7.501,43","84.775,66","72.130,00","12.200,00",Consulte,000,"183.654,69",2021,3806,"14.600,35","14.600,35",000,"3.084,97",000,"3.084,97","165.969,37",000,000
"116.585,05","7.815,31","41.190,69","22.636,00","14.260,00",Sem lançamentos,000,"47.188,81",2022,3806,000,000,000,"3.519,80",000,"3.519,80","41.367,96","2.301,05",000
"128.294,89","6.486,13","95.184,20","90.000,00","8.540,00",Sem lançamentos,000,"163.164,52",2023,3806,000,000,000,"5.100,93",000,"5.100,93","37.860,73","34.676,61","85.526,25"
"70.586,04","3.256,62","71.129,11","8.000,00","10.860,00",Consulte,000,"121.147,84",2024,3806,"21.985,50","21.985,50",000,"2.487,12",000,"2.487,12","28.558,46","10.428,54","57.688,22"
