AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
0,0,0,0,0,Sem lançamentos,0,000,2021,5070,000,000,000,000,000,000,000,000,000
0,0,0,0,0,Sem lançamentos,0,000,2022,5070,000,000,000,000,000,000,000,000,000
"68.054,71","49.947,20","34.307,36",000,"3.340,00",Consulte,42000,"38.602,26",2023,5070,"26.572,86","26.572,86",000,"8.875,13",000,"8.875,13","3.154,27",000,000
"30.698,35","33.720,92","22.720,59",000,"2.637,25",Sem lançamentos,36000,"6.506,53",2024,5070,000,000,000,"3.907,16",000,"3.907,16","2.599,37",000,000
