AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"42.626,08","19.429,38","110.339,77","35.663,34","29.000,00",Sem lançamentos,000,"99.176,67",2021,6338,"5.493,30","5.493,30",000,"3.139,29",000,"3.139,29","44.651,83",000,"45.892,25"
"42.626,08","19.429,38","110.339,77","35.663,34","29.000,00",Sem lançamentos,000,"99.176,67",2022,6338,"5.493,30","5.493,30",000,"3.139,29",000,"3.139,29","44.651,83",000,"45.892,25"
"97.589,37","29.106,86","160.849,50","44.230,92","11.300,00",Consulte,000,"118.174,31",2023,6338,"14.855,46","14.855,46",000,"6.631,64",000,"6.631,64","42.017,94",000,"54.669,27"
"42.626,08","19.429,38","110.339,77","35.663,34","29.000,00",Sem lançamentos,000,"99.176,67",2024,6338,"5.493,30","5.493,30",000,"3.139,29",000,"3.139,29","44.651,83",000,"45.892,25"
