AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"19.237,80",000,000,"232.583,13","184.199,30",Sem lançamentos,000,"6.653,02",2021,285,000,000,000,"3.716,16",000,"3.716,16","2.936,86",000,000
"9.235,44",000,000,"128.251,80","125.659,48",Sem lançamentos,000,"3.167,55",2022,285,000,000,000,"2.709,86",000,"2.709,86",8461,37308,000
"43.956,33",000,"2.142,90","320.289,86","79.708,00",Consulte,000,"125.080,08",2023,285,"32.010,75","32.010,75",000,"4.991,85",000,"4.991,85",22659,"21.526,74","66.324,15"
"19.740,00",000,"4.897,60","79.060,00","101.635,71",Sem lançamentos,000,"54.256,06",2024,285,000,000,000,"2.014,47",000,"2.014,47",2015,"18.000,00","34.221,44"
