AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"46.474,50",3510,000,"36.000,00","18.000,00",Consulte,000,"71.335,96",2021,5894,"26.979,26","26.979,26",000,"3.361,19",000,"3.361,19","40.995,51",000,000
"52.039,01",000,"1.659,26","18.000,00","90.000,00",Sem lançamentos,000,"72.969,51",2022,5894,000,000,000,"8.062,03",000,"8.062,03","64.907,48",000,000
"62.030,28",000,"1.264,92",000,"1.850,00",Consulte,000,"236.691,95",2023,5894,"9.157,71","9.157,71",000,"10.356,53",000,"10.356,53","152.753,87","19.001,22","45.422,62"
"24.138,43",1820,"6.221,28",000,000,Sem lançamentos,000,"108.125,75",2024,5894,000,000,000,"4.847,91",000,"4.847,91","64.998,64",000,"38.279,20"
