AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
35615,"2.850,00","121.397,75","1.050,00","189.239,08",Sem lançamentos,000,"3.685,76",2021,5422,000,000,000,"2.894,28",000,"2.894,28",79148,000,000
"22.300,00",000,"159.423,15","7.000,00","47.850,00",Sem lançamentos,000,"8.431,19",2022,5422,"4.089,55",000,"4.089,55","4.229,61",000,"4.229,61",11203,000,000
"71.718,49",12500,"136.870,54","4.750,00","17.457,50",Consulte,000,"135.415,23",2023,5422,"27.057,62","27.057,62",000,"3.313,35",000,"3.313,35",26269,70000,"104.081,57"
"73.334,04",000,"98.981,49","3.990,00","12.010,00",Sem lançamentos,000,"71.896,61",2024,5422,000,000,000,"3.096,64",000,"3.096,64",000,"3.220,62","65.579,35"
