AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"3.208,41","54.979,86","134.469,80","34.300,00","193.537,91",Sem lançamentos,000,"18.275,22",2021,6027,000,000,000,"1.769,76",000,"1.769,76","16.505,46",000,000
"3.692,16","63.831,47","115.500,00","27.729,23","180.877,17",Sem lançamentos,000,"36.086,53",2022,6027,000,000,000,"5.142,74",000,"5.142,74","30.943,79",000,000
"3.873,61","70.190,10","116.595,50","204.000,00","98.648,40",Consulte,000,"206.169,95",2023,6027,"12.025,61","12.025,61",000,"4.191,83",000,"4.191,83","31.657,82","7.309,62","150.985,07"
"1.795,91","29.093,36","52.500,00","75.000,00","10.000,00",Consulte,000,"139.138,24",2024,6027,"26.590,17","26.590,17",000,"2.282,05",000,"2.282,05","16.726,30","2.110,96","91.428,76"
