AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"78.366,86","1.825,15","7.935,29",000,9815,Sem lançamentos,21900,"2.098,15",2021,5899,000,000,000,"2.098,15",000,"2.098,15",000,000,000
"65.474,24","1.286,38","23.303,92","1.389,00",9815,Sem lançamentos,21900,"5.974,57",2022,5899,000,000,000,"5.974,57",000,"5.974,57",000,000,000
"103.016,36","1.923,33","12.000,00",62823,000,Sem lançamentos,24100,"6.356,40",2023,5899,000,000,000,"6.272,97",000,"6.272,97",8343,000,000
"29.205,00","1.032,32","18.325,39",6290,6290,Sem lançamentos,000,"2.368,25",2024,5899,000,000,000,"2.368,25",000,"2.368,25",000,000,000
