AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"52.921,74",000,"24.165,00",000,"427.600,00",Sem lançamentos,"3.360,00","22.869,41",2021,3830,"19.200,90","19.200,90",000,"2.520,48",000,"2.520,48","1.148,03",000,000
"6.500,00",000,"38.554,54","343.000,00","117.000,00",Sem lançamentos,000,"4.375,67",2022,3830,000,000,000,"3.505,76",000,"3.505,76",86991,000,000
000,000,"43.080,00","66.000,00","428.000,00",Consulte,000,"101.874,22",2023,3830,"63.950,76","63.950,76",000,"5.311,00",000,"5.311,00","2.612,33","30.000,13",000
000,000,"17.950,00","30.000,00","171.000,00",Consulte,000,"12.048,12",2024,3830,000,000,000,"2.231,02",000,"2.231,02",81718,"8.999,92",000
