AluguelEscritorio,MateriaisConsumo,HospedagemCombustivel,ApoioParlamentar,Propaganda,Passagens,SegurançaPrivada,Total,ano,CodigoParlamentar,Viagens,Diarias,RessarcimentePassagens,ConsumoMaterial,Combustiveis,OutrosMateriais,Correios,MarketingDigital,PassagensAereas
"55.621,91",000,"72.975,73","119.728,00",000,Sem lançamentos,000,"10.023,31",2021,70,000,000,000,"5.360,74",000,"5.360,74","4.662,57",000,000
"39.257,36",000,"82.261,70","48.500,00",000,Sem lançamentos,000,"14.888,06",2022,70,"11.397,36","11.397,36",000,"3.405,30",000,"3.405,30",8540,000,000
"56.550,39","3.500,00","121.884,25","82.952,86",000,Consulte,000,"40.855,10",2023,70,"28.961,76","28.961,76",000,"6.705,53",000,"6.705,53","5.187,81",000,000
"25.639,90",000,"56.752,67","41.000,00",000,Sem lançamentos,000,"16.078,39",2024,70,000,000,000,"2.513,69",000,"2.513,69","13.564,70",000,000
